bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1234729,833120,2019-04-01,House,"On motion to suspend the rules and pass the bill, as amended RC# 137",384,18,29,0,431
1236506,841807,2019-04-10,House,On agreeing to the Delgado amendment (A004) H.Amdt.160 RC# 163,363,60,14,0,437
1236506,841808,2019-04-10,House,On agreeing to the Wexton amendment (A006) H.Amdt.162 RC# 164,376,46,15,0,437
1236506,841809,2019-04-10,House,On agreeing to the McAdams amendment (A012) H.Amdt.168 RC# 165,423,0,14,0,437
1236506,841810,2019-04-10,House,On motion to recommit with instructions RC# 166,204,216,11,0,431
1236506,841811,2019-04-10,House,On passage RC# 167,232,190,10,0,432
1236579,820135,2019-03-12,House,"On motion to suspend the rules and pass the bill, as amended RC# 123",426,1,4,0,431
1237297,821364,2019-03-13,House,On agreeing to the resolution RC# 124,233,195,3,0,431
1238134,878374,2019-06-04,House,On motion to recommit with instructions RC# 239,202,221,10,0,433
1238134,878375,2019-06-04,House,On passage RC# 240,237,187,9,0,433
1238943,861040,2019-05-07,House,On motion to suspend the rules and pass the bill RC# 186,400,16,15,0,431
1238973,867033,2019-05-17,House,On motion to recommit with instructions RC# 216,181,228,23,0,432
1238973,867034,2019-05-17,House,On passage RC# 217,236,173,23,0,432
1239649,890258,2019-09-09,House,On motion to suspend the rules and pass the bill RC# 516,295,114,23,0,432
1239659,840045,2019-04-09,House,"On motion to suspend the rules and pass the bill, as amended RC# 162",393,24,14,0,431
1239689,947823,2020-03-09,House,"On motion to suspend the rules and pass the bill, as amended RC# 92",391,0,0,38,429
1240976,895229,2019-10-17,House,On agreeing to the Huizenga amendment (A001) H.Amdt.627 RC# 561,188,229,20,0,437
