type_id,type,sast_bill_number,sast_bill_id,bill_id
8,Related,SB2155,1032226,977694
2,Similar To,HR905,1119283,977694
8,Related,SB477,978927,977686
8,Related,SB1509,1021387,977690
8,Related,SB447,977668,977683
8,Related,HB1230,977682,977717
8,Related,HB1229,977717,977682
1,Same As,SB456,977704,977705
8,Related,SB1503,1021378,977716
8,Related,SB303,945853,977710
8,Related,SB500,982084,978947
8,Related,SB2641,1112425,978963
8,Related,SB392,964251,978899
8,Related,SB1460,1021221,978899
8,Related,SB498,982103,978923
8,Related,HB1776,1001233,978944
1,Same As,SB469,978935,978944
8,Related,SB771,1001226,978944
8,Related,SB3411,1125983,978944
1,Same As,SB476,978908,978931
8,Related,SB480,980685,978934
8,Related,SB887,1004323,978951
8,Related,HB2825,1018892,978951
8,Related,SB902,1004703,978946
8,Related,HB2825,1018892,978946
1,Same As,SB475,978938,978953
8,Related,HB10,1008998,978929
8,Related,HB3280,1022705,978929
8,Related,SB462,978955,978929
8,Related,SB2155,1032226,978929
2,Similar To,HR905,1119283,978929
8,Related,HB1690,996931,978964
8,Related,HR198,993165,978964
8,Related,SB493,982208,978964
8,Related,SB2807,1117318,978964
8,Related,SB2240,1036877,896834
8,Related,SB1,1033184,978968
8,Related,SB482,980657,980678
8,Related,HB6312,1124054,980678
8,Related,SB487,980682,980658
8,Related,SB3191,1124135,980660
8,Related,SB376,961610,980674
8,Related,SB520,982150,980647
8,Related,HB4425,1032194,980662
1,Same As,SB319,949000,980699
8,Related,HB5895,1119267,980699
8,Related,HB1175,965833,980707
8,Related,SB403,963943,980707
8,Related,SB1627,1023336,980705
8,Related,HB1625,995750,980705
8,Related,SB886,1004307,980675
8,Related,HB2825,1018892,980675
8,Related,SB749,1000356,980704
8,Related,SB2214,1035953,980648
8,Related,SB483,980687,980661
8,Related,HB1880,1003490,980676
8,Related,HB4274,1030389,980709
8,Related,SB2613,1108753,980700
1,Same As,SB1278,1016464,980702
8,Related,SB906,1004702,980652
8,Related,HB2825,1018892,980652
8,Related,SB638,993201,980689
8,Related,HB2825,1018892,980659
8,Related,SB3465,1126676,980672
8,Related,SB515,982158,982112
8,Related,HB244,898371,982116
8,Related,HR174,986117,982116
8,Related,HB195,896636,982116
1,Same As,SB180,925904,982122
8,Related,HB1072,963815,982130
8,Related,HR241,1002892,982130
8,Related,SB222,931542,982130
1,Same As,SB508,982202,982137
8,Related,SB1460,1021221,982137
8,Related,SB1511,1021357,982092
1,Same As,SB513,982201,982188
8,Related,SB1880,1027232,982192
8,Related,SB849,1003891,982109
8,Related,HB6378,1124358,982109
1,Same As,SB517,982195,982149
8,Related,HB10,1008998,982204
1,Same As,SB416,965931,982204
2,Similar To,HR375,1018316,982204
1,Same As,SB492,982142,982194
8,Related,SB1112,1013499,982090
8,Related,HB5942,1119762,982090
1,Same As,SB510,982179,982134
8,Related,SB494,982094,982091
8,Related,SB784,1001843,982165
8,Related,HB4958,1083936,982165
8,Related,SB3089,1122872,982165
1,Same As,SB509,982106,982088
8,Related,HB4489,1033578,982088
1,Same As,HB1391,986162,982182
8,Related,SB1555,1022294,982182
8,Related,SB506,982097,982205
8,Related,HB4986,1085288,982124
1,Same As,SB1660,1023651,982171
8,Related,HB10,1008998,982178
8,Related,HR240,1002884,982178
8,Related,SB488,980670,982178
2,Similar To,HR375,1018316,982178
8,Related,HB3280,1022705,982178
8,Related,HB3354,1023096,982178
8,Related,SB2155,1032226,982178
2,Similar To,HR905,1119283,982178
1,Same As,SB516,982183,982110
8,Related,HJR84,980701,982159
1,Same As,SB496,982155,982159
1,Same As,SB502,982145,982118
8,Related,SB1460,1021221,982118
8,Related,HB1781,1001212,982152
8,Related,SB2481,1099989,982152
8,Related,SB2635,1111908,982152
8,Related,HB3959,1027717,982141
8,Related,SB338,950843,982089
1,Same As,SB75,902524,982100
8,Related,HB2266,1009966,896658
1,Same As,SB632,993189,896658
8,Related,SB1107,1013505,896658
2,Similar To,HR569,1028364,896658
8,Related,SB486,980655,982186
8,Related,HB3730,1025806,982186
8,Related,HB2429,1014403,984898
1,Same As,SB484,980686,984898
8,Related,SB2155,1032226,984898
2,Similar To,HR905,1119283,984898
8,Related,SB2873,1118870,984898
8,Related,SB3256,1124745,984898
8,Related,HB5975,1120159,984898
8,Related,HR198,993165,984925
8,Related,SB1550,1022334,984925
1,Same As,SB503,982199,984911
8,Related,SB1103,1013501,984910
8,Related,HR670,1038298,984910
8,Related,HB4708,1038266,984910
8,Related,SB530,984896,984906
8,Related,SB1847,1026478,984915
1,Same As,SB529,984891,984927
1,Same As,SB537,986141,986167
8,Related,HB4570,1035007,986167
8,Related,SB2203,1035009,986167
8,Related,SB2591,1108808,986167
8,Related,SB882,1004394,986142
8,Related,SB2518,1102805,896728
1,Same As,SB538,986168,986097
8,Related,SB3042,1121807,986097
8,Related,HB2,1020827,986097
8,Related,SB667,993231,986134
8,Related,HB5038,1090862,986134
8,Related,HB2997,1020594,986109
8,Related,HB4,1020837,986109
8,Related,HB244,898371,986148
2,Similar To,HR895,1118382,986121
1,Same As,HB1331,982182,986162
8,Related,HB3218,1022303,986162
8,Related,SB1555,1022294,986162
1,Same As,SB540,986106,986119
1,Same As,SB550,986129,986096
8,Related,SB1460,1021221,986172
1,Same As,SB546,986122,986118
8,Related,SB541,986140,986151
8,Related,HB2,1020827,986151
2,Similar To,HR891,1118354,986151
8,Related,SB3042,1121807,986151
2,Similar To,HR1176,1132945,986151
8,Related,SB1907,1027627,986157
8,Related,HB4172,1029741,986157
8,Related,SB2256,1038030,986157
8,Related,SB1938,1027875,986157
8,Related,SB1704,1024110,986088
8,Related,HB4425,1032194,986105
8,Related,HB2,1020827,986105
2,Similar To,HR891,1118354,986105
2,Similar To,HR1176,1132945,986105
8,Related,HB2400,1012095,986103
1,Same As,SB551,986131,986166
8,Related,SB552,986146,986130
8,Related,SB3212,1124266,986094
1,Same As,SB568,988049,988037
1,Same As,SB563,988041,988053
8,Related,HB3823,1026986,988053
2,Similar To,HR538,1027066,988053
8,Related,HB2874,1019162,988053
8,Related,HB6922,1127228,988055
