people_id,name,party,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid
20107,Greg Stanton,D,Rep,HD-AZ-9,44044364,72030,N00041750,Greg_Stanton,638908
20108,Pete Stauber,R,Rep,HD-MN-8,44044791,159954,N00041511,Pete_Stauber,630211
20109,Bryan Steil,R,Rep,HD-WI-1,45356811,181289,N00043379,Bryan_Steil,664604
20110,Greg Steube,R,Rep,HD-FL-17,6692870,117248,N00042808,Greg_Steube,289471
20111,Haley Stevens,D,Rep,HD-MI-11,44044764,181092,N00040915,Haley_Stevens,623571
20112,Kim Schrier,D,Rep,HD-WA-8,44045231,181124,N00041606,Kim_Schrier,632874
20113,Nicholas Taylor,R,Rep,HD-TX-3,2375514,183369,N00027709,Nicholas_Taylor_(Texas),287415
20114,William Timmons,R,Rep,HD-SC-4,20742278,168923,N00042715,William_Timmons,575426
20115,Rashida Tlaib,D,Rep,HD-MI-13,13002117,105368,N00042649,Rashida_Tlaib,268236
20116,Lori Trahan,D,Rep,HD-MA-3,15875826,182310,N00041808,Lori_Trahan,636951
20117,David Trone,D,Rep,HD-MD-6,5631712,167336,N00039122,David_Trone,568351
20118,Xochitl Torres Small,D,Rep,HD-NM-2,9024230,177978,N00042467,Xochitl_Torres_Small,277948
20119,Lauren Underwood,D,Rep,HD-IL-14,44044644,177001,N00041569,Lauren_Underwood,601601
20120,Jeff Van Drew,D,Rep,HD-NJ-2,6389812,24685,N00042164,Jeff_Van_Drew,209970
20121,Michael Waltz,R,Rep,HD-FL-6,45399438,182261,N00042403,Michael_Waltz,652214
20122,Steve Watkins,R,Rep,HD-KS-2,45399292,181200,N00042126,Steve_Watkins,643123
20123,Jennifer Wexton,D,Rep,HD-VA-10,19907288,147013,N00041002,Jennifer_Wexton,484877
20124,Ron Wright,R,Rep,HD-TX-6,44105354,78666,N00042240,Ronald_Wright,206142
20125,Michael San Nicolas,D,Rep,HD-GU,0,185972,,Michael_F.Q._San_Nicolas,450531
20294,Mike Braun,R,Sen,SD-IN,21084493,148564,N00041731,Mike_Braun,484213
20295,Josh Hawley,R,Sen,SD-MO,16205449,169716,N00041620,Josh_Hawley,572072
20296,Mitt Romney,R,Sen,SD-UT,43351,21942,N00000286,Mitt_Romney,213247
20297,Rick Scott,R,Sen,SD-FL,422306,124204,N00043290,Rick_Scott,289276
21368,Fred Keller,R,Rep,HD-PA-12,4675316,119553,N00044065,Fred_Keller,292563
21385,Dan Bishop,R,Rep,HD-NC-9,92423,16777215,N00044335,Dan_Bishop,488139
21386,Greg Murphy,R,Rep,HD-NC-3,166135,5975268,N00044027,Gregory_Murphy,558576
21467,Kelly Loeffler,R,Sen,SD-GA,6803079,188718,N00046125,Kelly_Loeffler,724457
21642,Kweisi Mfume,D,Rep,HD-MD-7,48524635,26892,N00001799,Kweisi_Mfume,722075
21646,Mike Garcia,R,Rep,HD-CA-25,48160633,188664,N00044298,Mike_Garcia,703179
21647,Tom Tiffany,R,Rep,HD-WI-7,48524679,51831,N00045307,Tom_Tiffany,310033
21660,Christopher Jacobs,R,Rep,HD-NY-27,4932339,59772,N00044575,Christopher_Jacobs,590329
21702,Mark Kelly,D,Sen,SD-AZ,48160599,190594,N00044223,Mark_Kelly,709398
21711,Kwanza Hall,D,Rep,HD-GA-5,50548062,71969,,Kwanza_Hall,747892
9296,Cynthia Lummis,R,Sen,SD-WY,6365823,15546,N00029788,Cynthia_Lummis,240578
21921,Jerry Carl,R,Rep,HD-AL-1,48161159,143749,N00044245,Jerry_Carl,702881
21922,Barry Moore,R,Rep,HD-AL-2,12997504,121792,N00041295,Barry_Moore_(Alabama),290770
21923,Sara Jacobs,D,Rep,HD-CA-53,19388816,179414,N00042081,Sara_Jacobs,644085
21924,Young Kim,R,Rep,HD-CA-39,22215539,151787,N00042386,Young_Kim_(California),494206
21925,Jay Obernolte,R,Rep,HD-CA-8,13479345,151831,N00045377,Jay_Obernolte,494135
21926,Michelle Steel,R,Rep,HD-CA-48,197551,157194,N00044501,Michelle_Steel,694474
21927,Lauren Boebert,R,Rep,HD-CO-3,19528829,191290,N00045974,Lauren_Boebert,724132
21928,Kat Cammack,R,Rep,HD-FL-3,49284296,191306,N00045978,Kat_Cammack,447426
21929,Byron Donalds,R,Rep,HD-FL-19,17657863,137655,N00034016,Byron_Donalds,391126
21930,Scott Franklin,R,Rep,HD-FL-15,49846565,191355,N00046760,Scott_Franklin,735595
21931,Carlos Gimenez,R,Rep,HD-FL-26,49846593,81366,N00046394,Carlos_Gimenez,731724
21932,Maria Salazar,R,Rep,HD-FL-27,45399472,182300,N00042810,Maria_Elvira_Salazar,658161
21933,Carolyn Bourdeaux,D,Rep,HD-GA-7,44044572,178540,N00041791,Carolyn_Bourdeaux,629889
21934,Andrew Clyde,R,Rep,HD-GA-9,49394308,189770,N00046654,Andrew_Clyde,733887
21935,Marjorie Greene,R,Rep,HD-GA-14,48161226,189785,N00044701,Marjorie_Taylor_Greene,707878
21936,Nikema Williams,D,Rep,HD-GA-5,26177470,176751,N00047361,Nikema_Williams,648743
